Param_name;Param_global
TX_AMOUNT;3611900
TX_AMOUNT;1058439039
TX_AMOUNT;5,49E+11
NB_TX_1_DAYS;3611900
NB_TX_1_DAYS;3737670,5
NB_TX_1_DAYS;5186604
NB_TX_7_DAYS;3611900
NB_TX_7_DAYS;26152207,5
NB_TX_7_DAYS;253715419
NB_TX_30_DAYS;3611900
NB_TX_30_DAYS;112061883
NB_TX_30_DAYS;4650725089
TX_1_DAYS;3611900
TX_1_DAYS;1176929266
TX_1_DAYS;1,46E+12
TX_7_DAYS;3611900
TX_7_DAYS;8252118152
TX_7_DAYS;7,21E+13
TX_30_DAYS;3611900
TX_30_DAYS;35379717452
TX_30_DAYS;1,33E+15
RISK_1_DAYS;3611900
RISK_1_DAYS;2012403618
RISK_1_DAYS;2,01E+12
RISK_7_DAYS;3611900
RISK_7_DAYS;1006193293
RISK_7_DAYS;5,03E+11
RISK_30_DAYS;3611900
RISK_30_DAYS;402481150,5
RISK_30_DAYS;80423000000
