bio_passenger_1,bio_passenger_2,bio_passenger_3,bio_passenger_4,bio_passenger_captured
-0.014005709,0.002684737,-0.0000351,-0.003407868,-0.018115209
0.007972006,-0.000589625,-0.013868298,0.00678362,0.012693031
0.006821495,0.019536776,0.011551896,0.004254349,0.004258425
0.019189278,0.017109787,-0.002114711,0.003233453,0.009006746
-0.010785632,-0.003279039,0.022494506,0.010805624,-0.010206628
0.0018209,0.002845856,-0.005676129,-0.01250188,0.008699573
-0.018770361,-0.006958268,-0.020073706,-0.003769529,-0.016825601
0.002270723,0.002252312,0.01237043,0.002911424,-0.003699146
0.029346136,0.008117102,-0.000845073,-0.001634341,0.018594593
-0.002406626,0.000581711,-0.005022533,0.003812946,-0.002156678
0.01380456,-0.010926305,-0.012379555,-0.005994473,0.025607258
0.004469267,-0.014436167,0.028876819,0.004663636,0.001132988
-0.01549896,-0.001683683,-0.011538795,-0.002338861,-0.018999122
0.005306885,0.000310926,0.006123569,-0.0000374,0.007959532
0.016454838,-0.000156053,0.009688178,0.004657436,0.016117113
0.003738007,0.016382137,0.018673725,0.011206325,0.00260075
0.035550684,0.015339375,-0.006513834,0.001035007,0.03243934
0.001030162,0.022270044,0.025875686,0.015890632,0.002352846
-0.008586232,0.000423862,-0.010480048,-0.010573083,-0.007119562
0.008191576,-0.004240715,-0.035353787,-0.000486604,0.003797617
-0.0000699,0.025253633,0.013621368,0.014394104,-0.005104607
-0.041990012,-0.001020425,0.018717756,-0.009884637,-0.042220794
0.004002758,0.001035506,-0.005649808,-0.005847719,0.003819997
0.008566132,-0.002486747,0.002535701,-0.00527771,-0.002311321
-0.017573711,0.012486451,0.012913165,0.00888969,-0.020753367
-0.017628834,-0.005960423,0.000006,0.001985413,-0.018518243
0.014813473,-0.003271408,-0.013399392,-0.015931398,0.012561328
-0.002173967,-0.037674535,0.032989837,0.016146962,0.004582732
0.00277666,0.039948892,-0.031830601,0.003831626,-0.003526889
0.014727479,-0.003706743,0.001710535,0.012516398,0.011832804
-0.023060953,0.007284999,-0.00826844,0.001426044,-0.023280611
-0.007406633,0.00969021,-0.009636368,-0.002752234,-0.003945385
0.006713148,0.018357851,0.000419366,-0.005473079,0.004207999
-0.023774542,0.001663906,-0.024255307,-0.017287567,-0.018149583
0.032038771,0.018970897,-0.014900725,0.015287876,0.024803439
0.02830858,0.011377372,0.005563579,-0.003343071,0.028312964
-0.050153743,-0.039943825,0.011799393,-0.007792316,-0.035905167
-0.036659103,-0.008642313,-0.012198907,-0.023040956,-0.030516213
0.001575482,-0.000232911,0.004980987,0.014948403,-8.06912E-05
0.021589899,-0.021235889,0.022755435,0.008374863,0.023024824
-0.00533086,-0.01320633,0.00139563,0.00669855,-0.00390519
-0.013817721,0.003217674,-0.007537666,-0.006692791,-0.002395236
0.014633696,-0.0000991,0.004221477,-0.006353812,0.020875668
-0.009394232,-0.001815331,-0.015679926,-0.013407776,-0.006810781
0.009545663,-0.000176297,0.014421592,0.01319663,0.003564037
-0.024895759,0.00162448,-0.020822305,-0.00283252,-0.033311363
0.01453595,0.005027031,0.005120114,-0.000626034,0.016424906
0.015889753,-0.01315114,0.00778547,-0.007638091,0.017123079
-0.025751641,-0.014816128,0.009288375,-0.003206892,-0.027263299
0.009033087,0.028312698,0.010340143,0.001644081,0.005566486
0.018095493,-0.027185008,0.003123078,0.003316757,0.023830233
-0.01412933,-0.003267826,-0.015546558,-0.005726775,-0.014581244
0.011559187,-0.027195316,-0.002195771,0.003605141,0.020769453
0.038828325,-0.003187413,0.026345532,0.00718424,0.041412272
0.002793696,-0.008660048,-0.002691145,0.007745977,0.000110882
0.043809991,0.015491744,-0.00105464,0.00579496,0.037916012
-0.028989188,0.002064699,-0.002686273,-0.008317756,-0.032859445
-0.022686198,0.002150952,-0.018336697,-0.008554747,-0.016355086
0.000998324,-0.002142751,0.015997719,0.01782457,-0.001281797
0.002101755,-0.016302614,-0.005439204,-0.017256001,0.003164593
0.034091853,-0.01930514,0.019041408,0.004200395,0.035806675
0.015366621,0.021598507,-0.055964295,-0.015582304,-0.001617881
-0.009809491,0.005724593,-0.007014979,-0.009170428,-0.002286805
0.029895604,-0.001826457,-0.027276659,-0.000595696,0.040095475
-0.017170051,-0.018029019,-0.004715555,-0.007151096,-0.021846138
-0.014327083,-0.02614866,0.003114572,-0.007755264,-0.017551344
0.005114603,0.029634601,-0.012282707,0.003168967,0.003475362
0.026118111,-0.024316296,0.013139386,-0.020404981,0.023114385
-0.042543635,-0.029213339,-0.013374386,-0.004229984,-0.037475407
0.001472533,0.000762455,0.009890985,-0.004130823,0.000129791
0.046709187,0.029193938,-0.013527181,0.004367874,0.043358125
0.027668651,-0.007558175,-0.017086904,-0.002967725,0.030860411
-0.008009834,0.002756647,0.026934663,-0.000547822,-0.00096693
-0.003675216,-0.021115655,0.025835983,-0.006383825,0.009341595
0.007033223,0.008094661,0.00076045,-0.000591842,0.007789677
-0.042788222,0.008301203,0.015742075,-0.015918298,-0.037311371
0.00936825,-0.005049398,0.037279185,0.022516213,0.009399929
-0.006013137,-0.015459365,0.022745591,-0.008697439,-0.002865947
0.004822435,-0.004789558,-0.013770495,-0.00324558,-0.001606807
-0.031197086,0.009466237,-0.02446476,-0.008232902,-0.030570416
0.010410808,0.026839865,0.011923626,0.014738108,0.007502157
0.01352996,-0.016919889,0.005997065,0.005131407,0.023139704
-0.015518981,-0.007501313,0.012121562,0.006471872,-0.013079562
-0.021146972,0.015503337,-0.007394532,-0.009772908,-0.023061691
-0.007667645,0.001279414,-0.002950869,0.014145018,-0.005998184
-0.041848991,0.0015503,0.033822801,-0.005957608,-0.030934887
-0.02855511,0.014684504,0.015163907,-0.005604258,-0.032802846
0.006892187,0.028202023,-0.017411508,0.005455486,0.004631603
0.019816926,-0.020895174,0.005025061,-0.008504169,0.026689785
0.011176799,-0.011587796,-0.011874411,-0.00155422,0.007659251
-0.021106528,-0.009524244,-0.011148082,-0.007709282,-0.012085083
-0.042930909,-0.00640932,0.009842224,-0.0000827,-0.035395566
0.011192877,0.016905816,-0.020851487,-0.009288794,-0.004500474
0.015798647,-0.009650292,0.015840493,0.009124673,0.024696819
-0.001059662,0.000912636,-0.009469901,0.005849181,-0.005984975
